Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s,HS_numeric,AVG_numeric,Run_Category,Inn_Group
Sai Sudharsan,GT,759,15,15,1,108*,54.21,486,156.17,1,6,88,21,108,54.21,500+,13+
Surya Kumar Yadav,MI,717,16,16,5,73*,65.18,427,167.91,0,5,69,38,73,65.18,500+,13+
Virat Kohli,RCB,657,15,15,3,73*,54.75,454,144.71,0,8,66,19,73,54.75,500+,13+
Shubman Gill,GT,650,15,15,2,93*,50.00,417,155.87,0,6,62,24,93,50.0,500+,13+
Mitchell Marsh,LSG,627,13,13,0,117,48.23,383,163.7,1,6,56,37,117,48.23,500+,13+
Shreyas Iyer,PBKS,604,17,17,5,97*,50.33,345,175.07,0,6,43,39,97,50.33,500+,13+
Yashasvi Jaiswal,RR,559,14,14,1,75,43.00,350,159.71,0,6,60,28,75,43.0,500+,13+
Prabhsimran Singh,PBKS,549,17,17,0,91,32.29,342,160.52,0,4,56,30,91,32.29,500+,13+
K L Rahul,DC,539,13,13,3,112*,53.90,360,149.72,1,3,52,21,112,53.9,500+,13+
Jos Buttler,GT,538,14,13,4,97*,59.78,330,163.03,0,5,52,24,97,59.78,500+,13+
Nicholas Pooran,LSG,524,14,14,2,87*,43.67,267,196.25,0,5,45,40,87,43.67,500+,13+
Heinrich Klaasen,SRH,487,13,13,2,105*,44.27,282,172.69,1,1,42,25,105,44.27,401-500,13+
Priyansh Arya,PBKS,475,17,17,0,103,27.94,265,179.24,1,2,55,25,103,27.94,401-500,13+
Aiden Markram,LSG,445,13,13,0,66,34.23,299,148.82,0,5,38,22,66,34.23,401-500,13+
Abhishek Sharma,SRH,439,14,13,0,141,33.77,227,193.39,1,2,46,28,141,33.77,401-500,13+
Rohit Sharma,MI,418,15,15,1,81,29.86,280,149.28,0,4,41,22,81,29.86,401-500,13+
Phil Salt,RCB,403,13,13,1,65,33.58,229,175.98,0,4,48,22,65,33.58,401-500,13+
Riyan Parag,RR,393,14,14,2,95,32.75,236,166.52,0,1,27,27,95,32.75,301-400,13+
Ajinkya Rahane,KKR,390,13,12,1,61,35.45,264,147.72,0,3,36,20,61,35.45,301-400,10-12
Ryan Rickelton,MI,388,14,14,1,62*,29.85,257,150.97,0,3,47,17,62,29.85,301-400,13+
Travis Head,SRH,374,13,12,0,76,31.17,230,162.6,0,3,50,15,76,31.17,301-400,10-12
Nehal Wadhera,PBKS,369,16,15,3,70,30.75,253,145.84,0,2,28,21,70,30.75,301-400,13+
Shivam Dube,CSK,357,14,14,3,50,32.45,270,132.22,0,1,22,21,50,32.45,301-400,13+
Ishan Kishan,SRH,354,14,13,3,106*,35.40,232,152.58,1,1,33,15,106,35.4,301-400,13+
Shashank Singh,PBKS,350,17,14,7,61*,50.00,228,153.5,0,3,23,18,61,50.0,301-400,13+
N Tilak Varma,MI,343,16,13,2,59,31.18,248,138.3,0,2,23,16,59,31.18,301-400,13+
Dhruv Jurel,RR,333,14,13,4,70,37.00,213,156.33,0,2,22,22,70,37.0,301-400,13+
Ayush Badoni,LSG,329,14,11,1,74,32.90,222,148.19,0,2,27,14,74,32.9,301-400,10-12
Rajat Patidar,RCB,312,15,14,1,64,24.00,217,143.77,0,2,25,14,64,24.0,301-400,13+
Abishek Porel,DC,301,13,13,1,51,25.08,205,146.82,0,1,28,12,51,25.08,301-400,13+
Ravindra Jadeja,CSK,301,14,14,5,77*,33.44,222,135.58,0,2,25,10,77,33.44,301-400,13+
Tristan Stubbs,DC,300,14,13,7,41*,50.00,199,150.75,0,0,25,11,41,50.0,201-300,13+
Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33,215,139.53,0,1,30,8,50,33.33,201-300,10-12
Sherfane Rutherford,GT,291,13,11,2,46,32.33,185,157.29,0,0,22,18,46,32.33,201-300,10-12
Sanju Samson,RR,285,9,9,1,66,35.63,203,140.39,0,1,27,13,66,35.63,201-300,7-9
Josh Inglis,PBKS,278,11,11,2,73,30.89,171,162.57,0,1,26,16,73,30.89,201-300,10-12
Rishabh Pant,LSG,269,14,13,2,118*,24.45,202,133.16,1,1,23,16,118,24.45,201-300,13+
Axar Patel,DC,263,12,11,1,43,26.30,167,157.48,0,0,23,15,43,26.3,201-300,10-12
Jitesh Sharma,RCB,261,15,11,4,85*,37.29,148,176.35,0,1,24,17,85,37.29,201-300,10-12
Vaibhav Suryavanshi,RR,252,7,7,0,101,36.00,122,206.55,1,1,18,24,101,36.0,201-300,7-9
Naman Dhir,MI,252,16,12,4,46,31.50,138,182.6,0,0,24,13,46,31.5,201-300,10-12
Devdutt Padikkal,RCB,247,10,10,1,61,27.44,164,150.6,0,2,21,14,61,27.44,201-300,10-12
Sunil Narine,KKR,246,12,12,1,44,22.36,144,170.83,0,0,25,19,44,22.36,201-300,10-12
Ayush Mhatre,CSK,240,7,7,0,94,34.29,127,188.97,0,1,31,11,94,34.29,201-300,7-9
Shimron Hetmyer,RR,239,14,13,2,52,21.73,164,145.73,0,1,17,11,52,21.73,201-300,13+
Aniket Verma,SRH,236,14,12,3,74,26.22,142,166.19,0,1,12,20,74,26.22,201-300,10-12
Will Jacks,MI,233,13,11,1,53,23.30,172,135.46,0,1,22,11,53,23.3,201-300,10-12
Dewald Brevis,CSK,225,6,6,0,57,37.50,125,180.0,0,2,13,17,57,37.5,201-300,4-6
Hardik Pandya,MI,224,15,12,3,48*,24.89,137,163.5,0,0,18,12,48,24.89,201-300,10-12
Nitish Rana,RR,217,11,11,1,81,21.70,134,161.94,0,2,27,9,81,21.7,201-300,10-12
Rinku Singh,KKR,206,13,11,4,38*,29.43,134,153.73,0,0,20,10,38,29.43,201-300,10-12
Ashutosh Sharma,DC,204,13,9,2,66*,29.14,127,160.62,0,1,14,13,66,29.14,201-300,7-9
Faf Du Plessis,DC,202,9,9,0,62,22.44,163,123.92,0,2,18,8,62,22.44,201-300,7-9
Karun Nair,DC,198,8,8,0,89,24.75,115,172.17,0,1,24,10,89,24.75,101-200,7-9
MS Dhoni,CSK,196,14,13,5,30*,24.50,145,135.17,0,0,12,12,30,24.5,101-200,13+
Rachin Ravindra,CSK,191,8,8,1,65*,27.29,149,128.18,0,1,18,4,65,27.29,101-200,7-9
Tim David,RCB,187,12,9,6,50*,62.33,101,185.14,0,1,16,14,50,62.33,101-200,7-9
Nitish Kumar Reddy,SRH,182,13,11,3,32,22.75,153,118.95,0,0,16,4,32,22.75,101-200,10-12
Shahrukh Khan,GT,179,15,11,5,57,29.83,100,179.0,0,1,11,13,57,29.83,101-200,10-12
Andre Russell,KKR,167,13,10,1,57*,18.56,102,163.72,0,1,16,14,57,18.56,101-200,10-12
Abdul Samad,LSG,164,13,12,4,45,20.50,93,176.34,0,0,8,14,45,20.5,101-200,10-12
Marcus Stoinis,PBKS,160,13,11,5,44*,26.67,86,186.04,0,0,8,15,44,26.67,101-200,10-12
Devon Conway,CSK,156,6,6,0,69,26.00,119,131.09,0,2,17,4,69,26.0,101-200,4-6
David Miller,LSG,153,11,11,6,27*,30.60,120,127.5,0,0,13,4,27,30.6,101-200,10-12
Quinton De Kock,KKR,152,8,8,1,97*,21.71,117,129.91,0,1,9,11,97,21.71,101-200,7-9
Vipraj Nigam,DC,142,14,8,1,39,20.29,79,179.74,0,0,15,8,39,20.29,101-200,7-9
